Month of Sourcing,Sourcing Cost
Oct-20,134.28
Oct-20,133.45
Oct-20,134.28
Oct-20,133.45
Oct-20,133.45
Oct-20,135.1
Oct-20,137.04
Oct-20,136.02
Oct-20,136.19
Oct-20,135.76
Oct-20,134.67
Oct-20,135.06
Oct-20,152.43
Oct-20,163.62
Oct-20,160.41
Oct-20,136.19
Oct-20,109.58
Oct-20,136.02
Oct-20,135.76
Oct-20,85.71
Oct-20,144.49
Oct-20,159.44
Oct-20,153.11
Oct-20,136.56
Oct-20,154.24
Oct-20,153.15
Oct-20,137.35
Oct-20,134.22
Oct-20,134.28
Oct-20,135.76
Oct-20,127.26
Oct-20,109.58
Oct-20,113.16
Oct-20,160.41
Oct-20,159.44
Oct-20,136.02
Oct-20,136.19
Oct-20,134.67
Oct-20,136.02
Oct-20,133.45
Oct-20,137.04
Oct-20,136.19
Oct-20,133.45
Oct-20,134.22
Oct-20,136.02
Oct-20,137.04
Oct-20,133.45
Oct-20,133.45
Oct-20,164.65
Oct-20,136.02
Oct-20,153.6
Oct-20,136.02
Oct-20,137.04
Oct-20,137.35
Oct-20,135.76
Oct-20,132.44
Oct-20,135.76
Oct-20,137.04
Oct-20,113.16
Oct-20,135.46
Oct-20,136.02
Oct-20,131.91
Oct-20,135.1
Oct-20,133.45
Oct-20,127.26
Oct-20,115.32
Oct-20,160.41
Oct-20,136.19
Oct-20,133.45
Oct-20,132.44
Oct-20,144.49
Oct-20,135.98
Oct-20,159.44
Oct-20,133.45
Oct-20,135.52
Oct-20,136.19
Oct-20,160.41
Oct-20,136.02
Oct-20,135.76
Oct-20,134.67
Oct-20,108.44
Oct-20,115.32
Oct-20,135.76
Oct-20,133.45
Oct-20,164.65
Oct-20,153.11
Oct-20,133.45
Oct-20,153.11
Oct-20,154.24
Oct-20,108.44
Oct-20,135.76
Oct-20,154.42
Oct-20,117.67
Oct-20,127.26
Oct-20,135.1
Oct-20,115.32
Oct-20,136.02
Oct-20,137.21
Oct-20,135.48
Oct-20,159.44
Oct-20,134.67
Oct-20,153.15
Oct-20,108.44
Oct-20,117.67
Oct-20,136.02
Oct-20,134.67
Oct-20,153.15
Oct-20,136.02
Oct-20,153.11
Oct-20,147.74
Oct-20,117.67
Oct-20,135.76
Oct-20,134.67
Oct-20,160.41
Oct-20,134.67
Oct-20,155.02
Oct-20,135.52
Oct-20,136.02
Oct-20,137.67
Oct-20,154.42
Oct-20,135.1
Oct-20,127.26
Oct-20,137.21
Oct-20,135.76
Oct-20,164.65
Oct-20,113.16
Oct-20,159.44
Oct-20,136.02
Oct-20,136.19
Oct-20,135.76
Oct-20,109.58
Oct-20,133.45
Oct-20,134.28
Oct-20,108.44
Oct-20,135.76
Oct-20,108.44
Oct-20,135.1
Oct-20,109.58
Oct-20,127.26
Oct-20,113.16
Oct-20,134.28
Oct-20,161.74
Oct-20,133.45
Oct-20,136.02
Oct-20,135.52
Oct-20,134.67
Oct-20,135.48
Oct-20,115.32
Oct-20,160.41
Oct-20,147.74
Oct-20,132.97
Oct-20,133.45
Oct-20,113.16
Oct-20,132.44
Oct-20,137.21
Oct-20,136.02
Oct-20,134.67
Oct-20,127.26
Oct-20,135.06
Oct-20,152.43
Oct-20,136.02
Oct-20,135.76
Oct-20,95.3
Oct-20,159.44
Oct-20,135.76
Oct-20,137.67
Oct-20,152.43
Oct-20,135.06
Oct-20,108.44
Oct-20,127.26
Oct-20,109.58
Oct-20,135.76
Oct-20,135.48
Oct-20,134.67
Oct-20,135.1
Oct-20,136.02
Oct-20,171.43
Oct-20,137.04
Oct-20,154.27
Oct-20,136.19
Oct-20,160.41
Oct-20,137.04
Oct-20,159.44
Oct-20,136.02
Oct-20,85.71
Oct-20,135.76
Oct-20,133.45
Oct-20,113.16
Oct-20,136.02
Oct-20,135.76
Oct-20,109.58
Oct-20,134.28
Oct-20,133.45
Oct-20,134.28
Oct-20,153.15
Oct-20,135.06
Oct-20,136.02
Oct-20,135.06
Oct-20,109.58
Oct-20,137.04
Oct-20,137.04
Oct-20,134.67
Oct-20,154.24
Oct-20,127.26
Oct-20,159.44
Oct-20,133.44
Oct-20,127.26
Oct-20,137.04
Oct-20,137.67
Oct-20,134.67
Oct-20,136.02
Oct-20,134.28
Oct-20,171.43
Oct-20,108.44
Oct-20,159.44
Oct-20,154.27
Oct-20,154.42
Oct-20,136.02
Oct-20,135.1
Oct-20,137.35
Oct-20,154.27
Oct-20,159.44
Oct-20,153.15
Oct-20,137.35
Oct-20,135.76
Oct-20,133.45
Oct-20,109.58
Oct-20,127.26
Oct-20,159.93
Oct-20,136.02
Oct-20,127.26
Oct-20,133.45
Oct-20,132.44
Oct-20,135.48
Oct-20,135.48
Oct-20,135.76
Oct-20,135.76
Oct-20,137.04
Oct-20,153.15
Oct-20,134.28
Oct-20,136.02
Oct-20,135.06
Oct-20,136.19
Oct-20,134.28
Oct-20,135.1
Oct-20,134.67
Oct-20,136.02
Oct-20,160.41
Oct-20,137.04
Oct-20,113.16
Oct-20,137.04
Oct-20,133.45
Oct-20,136.19
Oct-20,109.58
Oct-20,159.44
Oct-20,108.44
Oct-20,159.93
Oct-20,135.1
Oct-20,122.78
Oct-20,153.11
Oct-20,134.67
Oct-20,160.41
Oct-20,134.22
Oct-20,136.19
Oct-20,159.44
Oct-20,109.58
Oct-20,160.41
Oct-20,109.58
Oct-20,137.04
Oct-20,160.41
Oct-20,136.19
Oct-20,136.19
Oct-20,133.45
Oct-20,155.02
Oct-20,137.04
Oct-20,127.26
Oct-20,127.26
Oct-20,136.02
Oct-20,85.71
Oct-20,137.04
Oct-20,109.58
Oct-20,135.1
Oct-20,133.45
Oct-20,137.21
Oct-20,108.44
Oct-20,154.29
Oct-20,136.19
Oct-20,134.28
Oct-20,133.45
Oct-20,135.76
Oct-20,136.19
Oct-20,152.43
Oct-20,127.26
Oct-20,127.26
Oct-20,136.02
Oct-20,159.93
Oct-20,136.02
Oct-20,159.44
Oct-20,137.04
Oct-20,135.76
Oct-20,135.52
Oct-20,161.74
Oct-20,160.41
Oct-20,108.44
Oct-20,133.43
Oct-20,139.66
Oct-20,160.41
Oct-20,135.1
Oct-20,109.58
Oct-20,108.44
Oct-20,134.67
Oct-20,135.76
Oct-20,136.19
Oct-20,127.26
Oct-20,133.45
Oct-20,133.45
Oct-20,134.28
Oct-20,133.45
Oct-20,154.27
Oct-20,133.45
Oct-20,135.1
Oct-20,134.28
Oct-20,137.04
Oct-20,136.19
Oct-20,159.93
Oct-20,135.76
Oct-20,159.44
Oct-20,115.32
Oct-20,136.02
Oct-20,133.45
Oct-20,135.76
Oct-20,135.76
Oct-20,136.19
Oct-20,133.45
Oct-20,154.24
Oct-20,122.78
Oct-20,136.56
Oct-20,108.44
Oct-20,127.26
Oct-20,127.26
Oct-20,135.76
Oct-20,134.67
Oct-20,133.45
Oct-20,137.04
Oct-20,134.22
Oct-20,137.21
Oct-20,136.02
Oct-20,135.1
Oct-20,152.43
Oct-20,134.67
Oct-20,127.26
Oct-20,133.45
Oct-20,137.04
Oct-20,137.04
Oct-20,135.1
Oct-20,109.58
Oct-20,109.58
Oct-20,108.44
Oct-20,135.1
Oct-20,152.43
Oct-20,134.67
Oct-20,131.91
Oct-20,134.28
Oct-20,155.02
Oct-20,108.44
Oct-20,133.45
Oct-20,153.15
Oct-20,137.04
Oct-20,136.02
Oct-20,133.45
Oct-20,152.43
Oct-20,136.02
Oct-20,136.19
Oct-20,135.76
Oct-20,134.22
Oct-20,135.76
Oct-20,127.26
Oct-20,135.76
Oct-20,147.74
Oct-20,136.19
Oct-20,136.02
Oct-20,136.02
Oct-20,108.44
Oct-20,135.06
Oct-20,127.26
Oct-20,109.58
Oct-20,154.42
Oct-20,136.02
Oct-20,108.44
Oct-20,108.44
Oct-20,136.02
Oct-20,134.22
Oct-20,133.45
Oct-20,127.26
Oct-20,131.91
Oct-20,160.41
Oct-20,136.02
Oct-20,134.22
Oct-20,135.98
Oct-20,159.44
Oct-20,154.42
Oct-20,108.44
Oct-20,136.02
Oct-20,133.45
Oct-20,127.26
Oct-20,154.42
Oct-20,134.67
Oct-20,135.06
Oct-20,135.1
Oct-20,154.42
Oct-20,135.1
Oct-20,154.42
Oct-20,133.45
Oct-20,159.44
Oct-20,136.02
Oct-20,134.67
Oct-20,137.35
Oct-20,133.45
Oct-20,109.58
Oct-20,154.1
Oct-20,135.76
Oct-20,164.65
Oct-20,135.76
Oct-20,135.06
Oct-20,159.44
Oct-20,133.45
Oct-20,135.98
Oct-20,136.02
Oct-20,135.76
Oct-20,135.52
Oct-20,136.19
Oct-20,136.02
Oct-20,135.76
Oct-20,136.02
Oct-20,147.74
Oct-20,136.02
Oct-20,133.45
Oct-20,135.46
Oct-20,134.67
Oct-20,135.48
Oct-20,159.87
Oct-20,135.06
Oct-20,160.41
Oct-20,133.45
Oct-20,115.32
Oct-20,135.06
Oct-20,131.13
Oct-20,135.76
Oct-20,133.45
Oct-20,134.28
Oct-20,127.26
Oct-20,144.49
Oct-20,135.1
Oct-20,134.67
Oct-20,134.22
Oct-20,159.44
Oct-20,137.04
Oct-20,85.71
Oct-20,137.04
Oct-20,136.19
Oct-20,133.45
Oct-20,159.87
Oct-20,159.93
Oct-20,108.44
Oct-20,133.45
Oct-20,154.27
Oct-20,113.16
Oct-20,135.46
Oct-20,135.1
Oct-20,134.67
Oct-20,160.41
Oct-20,127.26
Oct-20,137.21
Oct-20,135.06
Oct-20,137.04
Oct-20,127.26
Oct-20,160.41
Oct-20,136.02
Oct-20,134.22
Oct-20,135.52
Oct-20,135.06
Oct-20,109.58
Oct-20,127.26
Oct-20,152.43
Oct-20,136.19
Oct-20,135.48
Oct-20,108.44
Oct-20,154.42
Oct-20,135.76
Oct-20,117.67
Oct-20,133.45
Oct-20,127.26
Oct-20,133.45
Oct-20,135.48
Oct-20,113.16
Oct-20,136.02
Oct-20,107.57
Oct-20,133.45
Oct-20,136.02
Oct-20,153.15
Oct-20,154.42
Oct-20,137.21
Oct-20,144.49
Oct-20,153.15
Oct-20,127.26
Oct-20,139.66
Oct-20,160.41
Oct-20,159.44
Oct-20,160.41
Oct-20,117.67
Oct-20,153.11
Oct-20,133.45
Oct-20,137.35
Oct-20,134.67
Oct-20,135.06
Oct-20,136.02
Oct-20,108.44
Oct-20,135.48
Oct-20,108.44
Oct-20,135.06
Oct-20,133.45
Oct-20,108.44
Oct-20,159.44
Oct-20,135.76
Oct-20,133.45
Oct-20,133.45
Oct-20,115.32
Oct-20,133.45
Oct-20,131.91
Oct-20,135.76
Oct-20,135.98
Oct-20,137.35
Oct-20,127.26
Oct-20,127.26
Oct-20,136.02
