Month of Sourcing,Sourcing Cost
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
May-21,10.16
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Dec-20,4.81
Dec-20,16.69
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,11.0
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,21.66
Nov-20,11.0
Nov-20,11.0
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
Jul-20,5.55
