Month of Sourcing,Sourcing Cost
Oct-20,66.15
Oct-20,66.15
Oct-20,66.15
Oct-20,66.15
Oct-20,66.15
Oct-20,66.15
Oct-20,66.15
Oct-20,66.15
Oct-20,66.15
Oct-20,66.15
Oct-20,66.15
Oct-20,64.87
Oct-20,64.98
Oct-20,65.22
Oct-20,64.83
Oct-20,64.87
Oct-20,65.35
Oct-20,64.38
Oct-20,65.27
Oct-20,65.2
Oct-20,64.87
Oct-20,65.25
Oct-20,65.23
Oct-20,64.87
Oct-20,64.98
Oct-20,64.87
Oct-20,65.21
Oct-20,65.27
Oct-20,65.25
Oct-20,65.18
Oct-20,64.87
Oct-20,65.23
Oct-20,65.21
Oct-20,65.22
Oct-20,65.35
Oct-20,65.27
Oct-20,65.35
Oct-20,64.87
Oct-20,65.28
Oct-20,65.35
Oct-20,65.06
Oct-20,65.04
Oct-20,64.87
Oct-20,65.35
Oct-20,65.22
Oct-20,65.16
Oct-20,65.27
Oct-20,65.35
Oct-20,65.35
Oct-20,65.27
Oct-20,64.87
Oct-20,65.06
Oct-20,64.87
Oct-20,65.27
Oct-20,65.35
Oct-20,64.98
Oct-20,65.21
Oct-20,64.87
Oct-20,65.28
Oct-20,65.16
Oct-20,64.98
Oct-20,65.22
Oct-20,64.87
Oct-20,65.18
Oct-20,65.22
Oct-20,65.2
Oct-20,64.38
Oct-20,65.27
Oct-20,64.98
Oct-20,65.27
Oct-20,65.21
Oct-20,65.27
Oct-20,65.16
Oct-20,64.87
Oct-20,64.87
Oct-20,65.22
Oct-20,65.22
Oct-20,65.27
Oct-20,64.38
Oct-20,64.98
Oct-20,64.87
Oct-20,65.23
Oct-20,64.38
Oct-20,64.87
Oct-20,64.98
Oct-20,64.87
Oct-20,65.22
Oct-20,65.21
Oct-20,65.35
Oct-20,64.87
Oct-20,65.35
Oct-20,65.25
Oct-20,65.22
Oct-20,64.87
Oct-20,65.16
Oct-20,65.27
Oct-20,65.73
Oct-20,65.35
Oct-20,65.28
Oct-20,64.85
Oct-20,65.28
Oct-20,64.87
Oct-20,65.35
Oct-20,65.35
Oct-20,65.2
Oct-20,64.83
Oct-20,65.27
Oct-20,65.27
Oct-20,65.73
Oct-20,65.28
Oct-20,65.28
Oct-20,64.87
Oct-20,64.87
Oct-20,64.87
Oct-20,65.27
Oct-20,65.27
Oct-20,65.04
Oct-20,65.35
Oct-20,64.87
Oct-20,65.25
Oct-20,65.18
Oct-20,65.27
Oct-20,65.22
Oct-20,64.38
Oct-20,65.22
Oct-20,65.17
Oct-20,65.27
Oct-20,64.38
Oct-20,65.35
Oct-20,65.28
Oct-20,64.98
Oct-20,65.22
Oct-20,65.16
Oct-20,64.98
Oct-20,65.22
Oct-20,64.87
Oct-20,64.87
Oct-20,64.98
Oct-20,64.85
Oct-20,64.83
Oct-20,64.87
Oct-20,65.06
Oct-20,65.22
Oct-20,65.27
Oct-20,64.87
Oct-20,64.85
Oct-20,65.22
Oct-20,65.22
Oct-20,64.87
Oct-20,65.18
Oct-20,65.27
Oct-20,65.27
Oct-20,65.17
Oct-20,64.38
Oct-20,65.27
Oct-20,65.27
Oct-20,64.87
Oct-20,64.85
Oct-20,65.06
Oct-20,65.35
Oct-20,65.27
Oct-20,65.35
Oct-20,65.35
Oct-20,65.06
Oct-20,65.22
Oct-20,65.18
Oct-20,64.87
Oct-20,64.87
Oct-20,65.25
Oct-20,65.35
Oct-20,64.38
Oct-20,65.35
Oct-20,64.83
Oct-20,64.38
Oct-20,64.87
Oct-20,65.25
Oct-20,65.21
Oct-20,65.16
Oct-20,65.27
Oct-20,64.38
Oct-20,65.35
Oct-20,64.87
Oct-20,64.87
Oct-20,65.35
Oct-20,65.18
Oct-20,64.83
Oct-20,64.38
Oct-20,65.16
Oct-20,65.25
Oct-20,65.35
Oct-20,64.87
Oct-20,64.87
Oct-20,65.22
Oct-20,65.18
Oct-20,65.16
Oct-20,64.38
Oct-20,64.87
Oct-20,64.87
Oct-20,64.87
Oct-20,65.16
Oct-20,65.25
Oct-20,65.18
Oct-20,65.18
Oct-20,64.38
Oct-20,64.87
Oct-20,65.21
Oct-20,65.35
Oct-20,65.06
Oct-20,64.87
Oct-20,64.87
Oct-20,64.87
Oct-20,65.25
Oct-20,65.22
Oct-20,65.16
Oct-20,64.98
Oct-20,65.04
Oct-20,65.06
Oct-20,65.04
Oct-20,64.38
Oct-20,65.35
Oct-20,64.87
Oct-20,64.38
Oct-20,65.27
Oct-20,64.87
Oct-20,65.25
Oct-20,64.38
Oct-20,65.27
Oct-20,65.22
Oct-20,64.38
Oct-20,65.27
Oct-20,65.25
Oct-20,65.04
Oct-20,65.06
Oct-20,65.27
Oct-20,64.98
Oct-20,65.25
Oct-20,65.22
Oct-20,64.83
Oct-20,65.25
Oct-20,65.22
Oct-20,65.21
Oct-20,65.22
Oct-20,65.16
Oct-20,64.83
Oct-20,65.21
Oct-20,65.22
Oct-20,64.83
Oct-20,65.35
Oct-20,64.87
Oct-20,65.22
Oct-20,64.87
Oct-20,65.35
Oct-20,65.25
Oct-20,65.04
Oct-20,65.35
Oct-20,65.28
Oct-20,65.27
Oct-20,64.38
Oct-20,65.28
Oct-20,65.25
Oct-20,65.25
Oct-20,65.28
Oct-20,65.04
Oct-20,65.35
Oct-20,65.48
Oct-20,65.35
Oct-20,65.28
Oct-20,64.83
Oct-20,65.25
Oct-20,64.87
Oct-20,65.23
Oct-20,64.87
Oct-20,65.27
Oct-20,65.27
Oct-20,65.16
Oct-20,65.28
Oct-20,64.87
Oct-20,65.35
Oct-20,65.23
Oct-20,64.87
Oct-20,64.87
Oct-20,64.87
Oct-20,65.27
Oct-20,65.35
Oct-20,65.18
Oct-20,65.22
Oct-20,65.04
Oct-20,64.98
Oct-20,64.87
Oct-20,65.27
Oct-20,64.87
Oct-20,64.87
Oct-20,65.23
Oct-20,64.83
Oct-20,65.25
Oct-20,65.28
Oct-20,65.16
Oct-20,65.18
Oct-20,65.48
Oct-20,65.25
Oct-20,65.21
Oct-20,64.87
Oct-20,65.22
Oct-20,64.38
Oct-20,64.87
Oct-20,65.35
Oct-20,65.22
Oct-20,64.87
Oct-20,65.22
Oct-20,65.28
Oct-20,64.87
Oct-20,64.38
Oct-20,65.25
Oct-20,65.17
Oct-20,64.87
Oct-20,65.35
Oct-20,65.22
Oct-20,65.21
Oct-20,64.98
Oct-20,65.35
Oct-20,65.27
Oct-20,65.35
Oct-20,64.83
Oct-20,65.21
Oct-20,64.38
Oct-20,65.27
Oct-20,64.87
Oct-20,65.22
Oct-20,65.16
Oct-20,65.04
Oct-20,65.16
Oct-20,64.38
Oct-20,64.38
Oct-20,65.16
Oct-20,65.27
Oct-20,65.21
Oct-20,65.16
Oct-20,64.83
Oct-20,65.22
Oct-20,65.22
Oct-20,64.87
Oct-20,64.85
Oct-20,65.22
Oct-20,65.22
Oct-20,65.2
Oct-20,65.35
Oct-20,65.27
Oct-20,64.87
Oct-20,65.35
Oct-20,65.16
Oct-20,64.87
Oct-20,65.35
Oct-20,65.27
Oct-20,65.16
Oct-20,65.22
Oct-20,65.28
Oct-20,64.87
Oct-20,64.87
Oct-20,65.35
Oct-20,65.06
Oct-20,65.06
Oct-20,64.38
Oct-20,65.11
Oct-20,64.98
Oct-20,65.22
Oct-20,65.21
Oct-20,65.22
Oct-20,65.22
Oct-20,64.87
Oct-20,65.35
Oct-20,65.48
Oct-20,64.98
Oct-20,65.35
Oct-20,65.28
Oct-20,65.18
Oct-20,65.06
Oct-20,64.85
Oct-20,65.27
Oct-20,65.35
Oct-20,64.87
Oct-20,64.87
Oct-20,65.27
Oct-20,65.28
Oct-20,65.25
Oct-20,65.16
Oct-20,65.25
Oct-20,65.25
Oct-20,64.38
Oct-20,64.87
Oct-20,64.87
Oct-20,65.22
Oct-20,64.38
Oct-20,64.87
Oct-20,65.04
Oct-20,65.21
Oct-20,65.35
Oct-20,64.98
Oct-20,65.22
Oct-20,64.38
Oct-20,65.16
Oct-20,65.21
Oct-20,65.28
Oct-20,65.95
Oct-20,65.35
Oct-20,64.85
Oct-20,64.38
Oct-20,65.27
Oct-20,65.22
Oct-20,65.27
Oct-20,65.21
Oct-20,64.38
Oct-20,65.35
Oct-20,65.27
Oct-20,64.98
Oct-20,65.22
Oct-20,65.27
Oct-20,65.22
Oct-20,65.2
Oct-20,65.27
Oct-20,64.87
Oct-20,65.28
Oct-20,65.27
Oct-20,65.28
Oct-20,65.27
Oct-20,65.27
Oct-20,65.27
Oct-20,64.83
Oct-20,65.06
Oct-20,65.21
Oct-20,64.98
Oct-20,64.87
Oct-20,65.35
Oct-20,64.38
Oct-20,65.35
Oct-20,65.35
Oct-20,65.35
Oct-20,65.27
Oct-20,65.16
Oct-20,65.28
Oct-20,65.35
Oct-20,64.38
Oct-20,65.16
Oct-20,65.25
Oct-20,64.87
Oct-20,65.27
Oct-20,64.87
Oct-20,65.18
Oct-20,65.25
Oct-20,65.48
Oct-20,64.98
Oct-20,65.35
Oct-20,65.27
Oct-20,64.87
Oct-20,64.87
Oct-20,64.87
Oct-20,65.18
Oct-20,65.22
Oct-20,64.85
Oct-20,65.16
Oct-20,65.35
Oct-20,64.87
Oct-20,65.27
Oct-20,65.16
Oct-20,65.27
Oct-20,65.04
Oct-20,64.87
Oct-20,65.16
Oct-20,65.22
Oct-20,65.16
Oct-20,65.23
Oct-20,64.87
Oct-20,64.87
Oct-20,65.2
Oct-20,65.35
Oct-20,65.23
Oct-20,65.27
Oct-20,65.04
Oct-20,65.25
Oct-20,65.22
Oct-20,65.28
Oct-20,65.21
Oct-20,64.98
Oct-20,64.83
Oct-20,65.23
Oct-20,64.87
Oct-20,65.22
Oct-20,65.48
Oct-20,65.28
Oct-20,65.35
Oct-20,64.85
Oct-20,65.04
Oct-20,65.22
Oct-20,64.87
Oct-20,65.16
Oct-20,65.22
Oct-20,65.27
Oct-20,64.87
Oct-20,65.04
Oct-20,65.22
Oct-20,64.98
Oct-20,65.28
Oct-20,65.27
Oct-20,65.25
Oct-20,65.22
Oct-20,65.18
Oct-20,65.35
Oct-20,65.11
Oct-20,64.98
Oct-20,64.38
Oct-20,65.25
Oct-20,65.27
Oct-20,65.27
Oct-20,64.87
Oct-20,65.18
Oct-20,65.04
Oct-20,65.28
Oct-20,65.27
Oct-20,65.25
Oct-20,64.98
Oct-20,64.87
Oct-20,65.04
Oct-20,65.2
Oct-20,65.21
Oct-20,65.04
Oct-20,65.16
Oct-20,65.25
Oct-20,64.98
Oct-20,64.87
Oct-20,64.85
Oct-20,64.38
Oct-20,65.35
Oct-20,65.48
Oct-20,65.21
Oct-20,65.22
Oct-20,65.28
Oct-20,65.28
Oct-20,65.16
Oct-20,65.16
Oct-20,65.35
Oct-20,65.22
Oct-20,65.11
Oct-20,65.27
Oct-20,64.98
Oct-20,64.87
Oct-20,64.38
Oct-20,64.98
Oct-20,64.38
Oct-20,64.38
Oct-20,65.22
Oct-20,64.83
Oct-20,65.22
Oct-20,64.87
Oct-20,65.18
Oct-20,65.26
Oct-20,64.38
Oct-20,65.16
Oct-20,65.22
Oct-20,65.22
Oct-20,65.17
Oct-20,64.98
Oct-20,64.98
Oct-20,65.35
Oct-20,64.87
Oct-20,65.27
Oct-20,65.16
Oct-20,65.18
Oct-20,65.27
Oct-20,65.06
Oct-20,65.22
Oct-20,65.35
Oct-20,64.38
Oct-20,65.22
Oct-20,65.25
Oct-20,65.18
Oct-20,65.22
Oct-20,64.98
Oct-20,65.27
Oct-20,64.83
Oct-20,65.16
Oct-20,65.16
Oct-20,65.35
Oct-20,64.87
Oct-20,65.35
Oct-20,64.85
Oct-20,64.38
Oct-20,65.18
Oct-20,65.04
Oct-20,65.35
Oct-20,65.35
Oct-20,65.16
Oct-20,64.38
Oct-20,65.27
Oct-20,64.98
Oct-20,65.28
Oct-20,64.83
Oct-20,65.22
Oct-20,64.87
Oct-20,65.28
Oct-20,65.22
Oct-20,64.87
Oct-20,64.87
Oct-20,64.87
Oct-20,65.35
Oct-20,65.27
Oct-20,64.87
Oct-20,64.98
Oct-20,64.38
Oct-20,64.38
Oct-20,65.18
Oct-20,65.16
Oct-20,65.28
Oct-20,64.87
Oct-20,64.98
Oct-20,64.83
Oct-20,65.27
Oct-20,64.98
Oct-20,65.35
Oct-20,64.87
Oct-20,65.2
Oct-20,65.27
Oct-20,65.04
Oct-20,65.28
Oct-20,65.03
Oct-20,65.25
Oct-20,64.87
Oct-20,65.35
Oct-20,65.16
Oct-20,64.98
Oct-20,65.35
Oct-20,65.04
Oct-20,65.21
Oct-20,65.04
Oct-20,65.22
Oct-20,64.38
Oct-20,65.04
Oct-20,65.25
Oct-20,65.22
Oct-20,64.98
Oct-20,65.18
Oct-20,64.98
Oct-20,65.35
Oct-20,64.87
Oct-20,64.98
Oct-20,64.98
Oct-20,64.98
Oct-20,64.38
Oct-20,65.21
Oct-20,65.27
Oct-20,64.98
Oct-20,65.27
Oct-20,65.18
Oct-20,65.04
Oct-20,65.25
Oct-20,65.27
Oct-20,64.98
Oct-20,64.38
Oct-20,65.22
Oct-20,64.87
Oct-20,65.27
Oct-20,64.98
Oct-20,64.38
Oct-20,65.18
Oct-20,65.23
Oct-20,65.22
Oct-20,64.98
Oct-20,65.22
Oct-20,64.87
Oct-20,65.25
Oct-20,64.87
Oct-20,65.16
Oct-20,65.16
Oct-20,64.98
Oct-20,64.87
Oct-20,65.16
Oct-20,64.98
Oct-20,65.27
Oct-20,65.06
Oct-20,64.38
Oct-20,65.27
Oct-20,65.16
Oct-20,64.38
Oct-20,65.23
Oct-20,65.18
Oct-20,65.25
Oct-20,64.38
Oct-20,65.04
Oct-20,65.25
Oct-20,65.28
Oct-20,65.22
Oct-20,65.27
Oct-20,65.27
Oct-20,64.38
Oct-20,64.83
Oct-20,65.35
Oct-20,64.87
Oct-20,65.22
Oct-20,65.35
Oct-20,64.87
Oct-20,65.22
Oct-20,64.87
Oct-20,65.06
Oct-20,65.16
Oct-20,64.38
Oct-20,64.87
Oct-20,64.98
Oct-20,65.35
Oct-20,64.87
Oct-20,64.38
Oct-20,65.22
Oct-20,65.2
Oct-20,65.22
Oct-20,64.98
Oct-20,64.38
Oct-20,65.25
Oct-20,65.22
Oct-20,64.87
Oct-20,65.35
Oct-20,65.16
Oct-20,65.35
Oct-20,65.27
Oct-20,65.27
Oct-20,64.87
Oct-20,64.38
Oct-20,64.98
Oct-20,65.21
Oct-20,65.25
Oct-20,65.04
Oct-20,64.87
Oct-20,65.23
Oct-20,65.16
Oct-20,65.18
Oct-20,64.98
Oct-20,64.87
Oct-20,65.18
Oct-20,64.87
Oct-20,64.87
Oct-20,65.35
Oct-20,65.16
Oct-20,64.83
Oct-20,65.35
Oct-20,64.87
Oct-20,65.26
Oct-20,65.22
Oct-20,65.16
Oct-20,64.87
Oct-20,64.87
Oct-20,65.18
Oct-20,65.28
Oct-20,65.11
Oct-20,64.38
Oct-20,65.25
Oct-20,65.21
Oct-20,64.87
Oct-20,65.22
Oct-20,65.22
Oct-20,65.2
Oct-20,65.35
Oct-20,65.28
Oct-20,65.22
Oct-20,64.87
Oct-20,64.38
Oct-20,65.21
Oct-20,64.87
Oct-20,64.38
Oct-20,65.27
Oct-20,65.22
Oct-20,65.22
Oct-20,65.16
Oct-20,64.98
Oct-20,64.87
Oct-20,64.87
Oct-20,65.35
Oct-20,65.22
Oct-20,65.23
Oct-20,65.22
Oct-20,65.22
Oct-20,65.35
Oct-20,64.87
Oct-20,65.04
Oct-20,65.27
Oct-20,64.87
Oct-20,65.16
Oct-20,65.27
Oct-20,64.38
Oct-20,64.98
Oct-20,64.98
Oct-20,65.06
Oct-20,65.2
Oct-20,64.87
Oct-20,65.27
Oct-20,65.22
Oct-20,64.38
Oct-20,65.28
Oct-20,65.35
Oct-20,65.25
Oct-20,65.27
Oct-20,64.87
Oct-20,65.21
Oct-20,65.18
Oct-20,64.87
Oct-20,65.35
Oct-20,64.38
Oct-20,64.87
Oct-20,65.18
Oct-20,65.22
Oct-20,65.16
Oct-20,65.16
Oct-20,65.48
Oct-20,64.38
Oct-20,64.98
Oct-20,65.25
Oct-20,64.38
Oct-20,65.21
Oct-20,65.28
Oct-20,65.18
Oct-20,65.35
Oct-20,64.87
Oct-20,64.85
Oct-20,65.35
Oct-20,64.87
Oct-20,65.35
Oct-20,65.17
Oct-20,65.22
Oct-20,65.06
Oct-20,65.35
Oct-20,65.27
Oct-20,64.87
Oct-20,66.02
Oct-20,65.28
Oct-20,64.87
Oct-20,65.2
Oct-20,64.38
Oct-20,65.16
Oct-20,64.87
Oct-20,64.87
Oct-20,65.27
Oct-20,65.04
Oct-20,64.98
Oct-20,64.87
Oct-20,65.21
Oct-20,65.35
Oct-20,65.35
Oct-20,64.87
Oct-20,64.87
Oct-20,65.35
Oct-20,65.27
Oct-20,65.28
Oct-20,64.87
Oct-20,65.27
Oct-20,65.25
Oct-20,65.04
Oct-20,65.04
Oct-20,65.21
Oct-20,65.16
Oct-20,65.06
Oct-20,64.98
Oct-20,65.35
Oct-20,64.38
Oct-20,65.16
Oct-20,65.27
Oct-20,65.22
Oct-20,64.83
Oct-20,65.27
Oct-20,65.48
Oct-20,64.87
Oct-20,64.87
Oct-20,65.73
Oct-20,65.25
Oct-20,64.87
Oct-20,65.18
Oct-20,65.04
Oct-20,65.22
Oct-20,64.98
Oct-20,65.35
Oct-20,65.35
Oct-20,65.25
Oct-20,65.35
Oct-20,64.38
Oct-20,65.1
Oct-20,65.28
Oct-20,65.52
Oct-20,64.38
Oct-20,65.27
Oct-20,64.87
Oct-20,64.87
Oct-20,65.22
Oct-20,64.87
Oct-20,65.22
Oct-20,65.25
Oct-20,64.38
Oct-20,65.23
Oct-20,64.87
Oct-20,64.98
Oct-20,65.16
Oct-20,65.22
Oct-20,64.87
Oct-20,65.27
Oct-20,64.38
Oct-20,65.06
Oct-20,65.06
Oct-20,65.35
Oct-20,64.83
Oct-20,64.87
Oct-20,64.87
Oct-20,65.22
Oct-20,65.04
Oct-20,65.27
Oct-20,64.38
Oct-20,65.21
Oct-20,65.25
Oct-20,64.87
Oct-20,64.98
Oct-20,64.98
Oct-20,64.38
Oct-20,64.98
Oct-20,64.38
Oct-20,64.38
Oct-20,64.38
Oct-20,64.87
Oct-20,65.16
Oct-20,64.87
Oct-20,65.25
Oct-20,65.03
Oct-20,64.87
Oct-20,65.04
Oct-20,65.23
Oct-20,65.22
Oct-20,65.2
Oct-20,65.04
Oct-20,65.35
Oct-20,64.98
Oct-20,65.04
Oct-20,65.28
Oct-20,64.87
Oct-20,65.35
Oct-20,65.25
Oct-20,64.98
Oct-20,65.35
Oct-20,64.87
Oct-20,65.23
Oct-20,65.27
Oct-20,64.38
Oct-20,65.27
Oct-20,65.16
Oct-20,64.83
Oct-20,64.87
Oct-20,65.25
Oct-20,65.22
Oct-20,64.87
Oct-20,65.18
Oct-20,65.11
Oct-20,64.38
Oct-20,65.35
Oct-20,65.22
Oct-20,64.98
Oct-20,65.35
Oct-20,65.22
Oct-20,65.27
Oct-20,65.22
Oct-20,65.23
Oct-20,65.22
Oct-20,65.25
Oct-20,65.22
Oct-20,65.35
