Month of Sourcing,Sourcing Cost
Nov-20,26.34
Nov-20,26.34
Nov-20,26.34
Nov-20,26.34
Nov-20,26.34
Nov-20,24.38
Nov-20,24.35
Nov-20,24.38
Nov-20,24.38
Nov-20,25.1
Nov-20,24.35
Nov-20,26.0
Nov-20,24.35
Nov-20,24.38
Nov-20,24.38
Nov-20,24.35
Nov-20,24.38
Nov-20,26.0
Nov-20,24.46
Nov-20,24.38
Nov-20,24.38
Nov-20,24.35
Nov-20,24.38
Nov-20,24.46
Nov-20,24.35
Nov-20,24.46
Nov-20,24.38
Nov-20,24.38
Nov-20,24.46
Nov-20,24.46
Nov-20,25.7
Nov-20,26.0
Nov-20,25.7
Nov-20,24.35
Nov-20,25.7
Nov-20,25.1
Nov-20,24.46
Nov-20,24.38
Nov-20,25.1
Nov-20,25.7
Nov-20,26.0
Nov-20,24.35
Nov-20,24.46
Nov-20,24.46
Nov-20,24.35
Nov-20,24.46
Nov-20,26.0
Nov-20,25.7
Nov-20,25.7
Nov-20,24.35
Nov-20,24.35
Nov-20,25.7
Nov-20,24.38
Nov-20,24.38
Nov-20,24.35
Nov-20,24.35
Nov-20,24.35
Nov-20,25.1
Nov-20,24.38
Nov-20,25.7
Nov-20,25.7
Nov-20,24.46
Nov-20,24.38
Nov-20,26.0
Nov-20,24.38
Nov-20,25.7
Nov-20,24.35
Nov-20,26.0
Nov-20,24.46
Nov-20,24.35
Nov-20,24.38
Nov-20,24.35
Nov-20,24.46
Nov-20,25.1
Nov-20,24.35
Nov-20,24.35
Nov-20,24.35
Nov-20,24.38
Nov-20,24.38
Nov-20,24.38
Nov-20,24.38
Nov-20,25.1
Nov-20,24.46
Nov-20,25.1
Nov-20,24.46
Nov-20,24.38
Nov-20,24.38
Nov-20,24.35
Nov-20,24.46
Nov-20,24.46
Nov-20,24.38
Nov-20,24.38
Nov-20,24.35
Nov-20,24.38
Nov-20,24.35
Nov-20,24.38
Nov-20,24.35
Nov-20,25.1
Nov-20,24.38
Nov-20,26.0
Nov-20,26.0
Nov-20,24.35
Nov-20,24.46
Nov-20,24.35
Nov-20,24.35
Nov-20,24.46
Nov-20,24.35
Nov-20,25.7
Nov-20,25.7
Nov-20,24.35
Nov-20,24.38
Nov-20,26.0
Nov-20,24.38
Nov-20,24.46
Nov-20,24.38
Nov-20,25.1
Nov-20,25.7
Nov-20,25.7
Nov-20,24.38
Nov-20,24.46
Nov-20,26.0
Nov-20,25.1
Nov-20,24.35
Nov-20,24.46
Nov-20,25.7
Nov-20,25.7
Nov-20,25.7
Nov-20,26.0
Nov-20,26.0
Nov-20,25.1
Nov-20,24.46
Nov-20,24.38
Nov-20,24.35
Nov-20,24.46
Nov-20,25.1
Nov-20,24.35
Nov-20,25.7
Nov-20,24.46
Nov-20,24.35
Nov-20,24.38
Nov-20,25.1
Nov-20,24.46
Nov-20,25.1
Nov-20,24.46
Nov-20,24.35
Nov-20,24.35
Nov-20,24.35
Nov-20,26.0
Nov-20,24.35
Nov-20,24.35
Nov-20,26.0
Nov-20,25.7
Nov-20,26.0
Nov-20,26.0
Nov-20,24.46
Nov-20,24.35
Nov-20,25.1
Nov-20,25.7
Nov-20,25.1
Nov-20,25.1
Nov-20,24.46
Nov-20,24.46
Nov-20,24.38
Nov-20,26.0
Nov-20,24.46
Nov-20,24.46
Nov-20,25.1
Nov-20,24.38
Nov-20,25.1
Nov-20,25.7
Nov-20,24.35
Nov-20,24.46
Nov-20,25.7
Nov-20,26.0
Nov-20,25.1
Nov-20,24.35
Nov-20,25.1
Nov-20,24.35
Nov-20,24.35
Nov-20,24.46
Nov-20,24.35
Nov-20,26.0
Nov-20,24.35
Nov-20,24.35
Nov-20,24.46
Nov-20,24.38
Nov-20,25.7
Nov-20,24.46
Nov-20,24.46
Nov-20,24.38
Nov-20,24.35
Nov-20,24.38
Nov-20,24.46
Nov-20,24.35
Nov-20,24.35
Nov-20,24.35
Nov-20,24.38
Nov-20,24.35
Nov-20,24.46
Nov-20,24.35
Nov-20,25.7
Nov-20,24.38
Nov-20,26.0
Nov-20,25.1
Nov-20,25.1
Nov-20,24.38
Nov-20,24.46
Nov-20,26.0
Nov-20,26.0
Nov-20,24.35
Nov-20,24.46
Nov-20,24.38
Nov-20,24.46
Nov-20,25.1
Nov-20,24.46
Nov-20,25.7
Nov-20,24.38
Nov-20,24.38
Nov-20,25.7
Nov-20,25.7
Nov-20,25.1
Nov-20,24.46
Nov-20,24.35
Nov-20,24.35
Nov-20,24.46
Nov-20,24.46
Nov-20,26.0
Nov-20,25.1
Nov-20,24.35
Nov-20,24.35
Nov-20,24.38
Nov-20,24.38
Nov-20,24.35
Nov-20,24.35
Nov-20,24.38
Nov-20,25.1
