Month of Sourcing,Sourcing Cost
Dec-20,12.46
Dec-20,64.33
Dec-20,16.86
Dec-20,27.22
Dec-20,12.46
Dec-20,12.46
Dec-20,128.64
Dec-20,31.15
Dec-20,27.23
Dec-20,27.22
Dec-20,11.53
Dec-20,27.22
Dec-20,42.69
Dec-20,45.42
Dec-20,35.73
Dec-20,27.22
Dec-20,35.73
Dec-20,27.23
Dec-20,14.3
Dec-20,56.29
Dec-20,27.23
Dec-20,12.46
Dec-20,36.75
Dec-20,56.29
Dec-20,27.35
Dec-20,128.66
Dec-20,128.64
Dec-20,27.22
Dec-20,27.23
Dec-20,0.0
Dec-20,35.73
Dec-20,32.17
Dec-20,3.68
Dec-20,27.22
Dec-20,27.22
Dec-20,27.22
Dec-20,27.35
Dec-20,36.97
Dec-20,12.46
Dec-20,27.35
Dec-20,18.99
Dec-20,27.35
Dec-20,16.86
Dec-20,96.49
Dec-20,27.35
Dec-20,12.46
Dec-20,18.99
Dec-20,35.73
Dec-20,27.22
Dec-20,27.35
Dec-20,119.58
Dec-20,18.99
Dec-20,27.35
Dec-20,16.86
Dec-20,27.35
Dec-20,3.68
Dec-20,27.22
Dec-20,27.22
Dec-20,11.46
Dec-20,14.3
Dec-20,31.15
Dec-20,27.22
Dec-20,27.35
Dec-20,27.35
Dec-20,18.99
Dec-20,12.46
Dec-20,27.35
Dec-20,96.52
Dec-20,36.97
Dec-20,35.73
Dec-20,35.73
Dec-20,56.29
Dec-20,18.99
Dec-20,0.0
Dec-20,27.35
Dec-20,21.44
Dec-20,96.49
Dec-20,27.35
Dec-20,27.22
Dec-20,27.22
Dec-20,12.46
Dec-20,27.22
Dec-20,128.66
Dec-20,27.35
Dec-20,31.15
Dec-20,42.89
Dec-20,27.22
Dec-20,35.73
Dec-20,42.69
Dec-20,32.17
Dec-20,56.29
Dec-20,27.22
Dec-20,27.22
Dec-20,27.22
Dec-20,128.67
Dec-20,27.35
Dec-20,10.72
Dec-20,12.46
Dec-20,27.35
Dec-20,27.22
Dec-20,35.73
Dec-20,27.35
Dec-20,35.73
Dec-20,10.72
Dec-20,27.35
Dec-20,42.89
Dec-20,12.46
Dec-20,0.0
Dec-20,35.73
Dec-20,27.35
Dec-20,45.42
Dec-20,12.46
Dec-20,18.99
Dec-20,119.58
Dec-20,128.64
Dec-20,27.35
Dec-20,27.22
Dec-20,31.15
Dec-20,27.35
Dec-20,3.68
Dec-20,10.72
Dec-20,16.86
Dec-20,128.66
Dec-20,10.72
Dec-20,35.73
Dec-20,27.35
Dec-20,0.0
Dec-20,27.22
Dec-20,35.73
Dec-20,82.69
Dec-20,27.35
Dec-20,27.22
Dec-20,32.17
Dec-20,27.23
Dec-20,27.35
Dec-20,27.23
Dec-20,45.42
Dec-20,27.22
Dec-20,16.86
Dec-20,10.72
Dec-20,27.23
Dec-20,128.66
Dec-20,18.99
Dec-20,12.46
Dec-20,35.73
Dec-20,27.35
Dec-20,27.35
Dec-20,45.42
Dec-20,27.0
Dec-20,36.75
Dec-20,27.35
Dec-20,27.35
Dec-20,27.35
Dec-20,0.0
Dec-20,128.64
Dec-20,11.53
Dec-20,27.35
Dec-20,82.69
Dec-20,27.22
Dec-20,3.68
Dec-20,36.75
Dec-20,3.68
Dec-20,35.73
Dec-20,27.35
Dec-20,56.29
Dec-20,21.44
Dec-20,27.22
Dec-20,27.23
Dec-20,35.73
Dec-20,128.67
Dec-20,82.69
Dec-20,27.35
Dec-20,18.99
