Month of Sourcing,Sourcing Cost
Nov-20,43.1
Nov-20,68.0
Nov-20,37.76
Nov-20,43.1
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,37.76
Nov-20,68.0
Nov-20,37.76
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,43.1
Nov-20,37.76
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,37.76
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,40.95
Nov-20,43.1
Nov-20,43.1
Nov-20,68.0
Nov-20,68.0
Nov-20,37.76
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,37.76
Nov-20,43.1
Nov-20,40.95
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,37.76
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,68.0
Nov-20,37.76
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,37.76
Nov-20,43.1
Nov-20,68.0
Nov-20,43.1
Nov-20,43.1
Nov-20,68.0
Nov-20,43.1
Nov-20,43.1
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,40.95
Nov-20,43.1
Nov-20,43.1
Nov-20,43.1
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,43.1
Nov-20,40.95
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,68.0
Nov-20,43.1
Nov-20,37.76
Nov-20,68.0
Nov-20,68.0
Nov-20,68.0
Nov-20,40.95
Nov-20,68.0
Nov-20,68.0
Nov-20,43.1
Nov-20,43.1
