Month of Sourcing,Sourcing Cost
Aug-20,54.56
Aug-20,48.25
Aug-20,50.92
Aug-20,62.45
Aug-20,36.06
Aug-20,50.92
Aug-20,48.25
Aug-20,48.25
Aug-20,36.06
Aug-20,53.51
Aug-20,44.47
Aug-20,50.67
Aug-20,48.25
Aug-20,52.34
Aug-20,52.34
Aug-20,54.86
Aug-20,44.47
Aug-20,36.06
Aug-20,49.23
Aug-20,62.45
Aug-20,53.51
Aug-20,48.25
Aug-20,36.06
Aug-20,62.45
Aug-20,36.06
Aug-20,50.92
Aug-20,50.92
Aug-20,50.92
Aug-20,50.67
Aug-20,49.23
Aug-20,49.23
Aug-20,54.86
Aug-20,50.92
Aug-20,50.67
Aug-20,48.25
Aug-20,36.06
Aug-20,50.67
Aug-20,52.34
Aug-20,44.47
Aug-20,36.06
Aug-20,54.86
Aug-20,36.06
Aug-20,52.34
Aug-20,48.64
Aug-20,49.23
Aug-20,48.25
Aug-20,36.06
Aug-20,48.64
Aug-20,62.45
Aug-20,53.67
Aug-20,36.06
Aug-20,53.51
Aug-20,48.25
Aug-20,36.06
Aug-20,48.64
Aug-20,44.8
Aug-20,36.06
Aug-20,49.23
Aug-20,50.92
Aug-20,52.34
Aug-20,54.56
Aug-20,36.06
Aug-20,52.34
Aug-20,53.51
Aug-20,52.34
Aug-20,52.34
Aug-20,44.47
Aug-20,48.25
Aug-20,36.06
Aug-20,50.67
Aug-20,44.47
Aug-20,64.0
Aug-20,44.8
Aug-20,36.06
Aug-20,44.47
Aug-20,54.86
Aug-20,48.25
Aug-20,49.23
Aug-20,48.64
Aug-20,50.67
Aug-20,52.34
Aug-20,50.67
Aug-20,48.64
Aug-20,53.51
Aug-20,44.8
Aug-20,36.06
Aug-20,50.92
Aug-20,44.47
Aug-20,53.51
Aug-20,44.47
Aug-20,64.0
Aug-20,48.75
Aug-20,44.8
Aug-20,52.34
Aug-20,36.06
Aug-20,36.06
Aug-20,36.06
Aug-20,44.47
Aug-20,52.34
Aug-20,52.34
Aug-20,52.34
Aug-20,48.25
Aug-20,62.45
Aug-20,48.25
Aug-20,50.67
Aug-20,44.47
Aug-20,44.47
Aug-20,36.06
Aug-20,49.23
Aug-20,36.06
Aug-20,53.51
Aug-20,48.25
Aug-20,52.34
Aug-20,44.47
Aug-20,44.47
Aug-20,44.8
Aug-20,44.47
Aug-20,54.56
Aug-20,50.67
Aug-20,53.51
Aug-20,48.25
Aug-20,62.45
Aug-20,53.51
Aug-20,50.92
Aug-20,49.23
Aug-20,48.25
Aug-20,44.47
Aug-20,54.86
Aug-20,36.06
Aug-20,44.47
Aug-20,44.47
Aug-20,44.47
Aug-20,48.25
Aug-20,53.51
Aug-20,44.47
Aug-20,36.06
Aug-20,50.92
Aug-20,36.06
Aug-20,48.25
Aug-20,36.06
Aug-20,36.06
Aug-20,48.25
Aug-20,48.25
Aug-20,50.92
Aug-20,44.8
Aug-20,54.86
Aug-20,62.45
Aug-20,48.25
Aug-20,54.86
Aug-20,44.47
Aug-20,36.06
Aug-20,49.23
Aug-20,62.45
Aug-20,64.0
Aug-20,53.51
Aug-20,50.67
Aug-20,36.06
Aug-20,54.56
Aug-20,53.67
Aug-20,48.25
Aug-20,62.45
Aug-20,62.45
Aug-20,36.06
Aug-20,53.51
Aug-20,50.67
Aug-20,62.45
Aug-20,36.06
Aug-20,54.86
Aug-20,36.06
Aug-20,50.92
Aug-20,48.25
Aug-20,62.45
Aug-20,53.67
Aug-20,44.8
Aug-20,54.86
Aug-20,50.67
Aug-20,36.06
Aug-20,49.23
Aug-20,53.51
Aug-20,62.45
Aug-20,36.06
Aug-20,36.06
Aug-20,44.47
Aug-20,36.06
Aug-20,50.92
Aug-20,50.67
Aug-20,54.86
Aug-20,44.47
Aug-20,36.06
Aug-20,36.06
Aug-20,48.25
Aug-20,49.23
Aug-20,49.23
Aug-20,54.86
Aug-20,62.45
Aug-20,50.67
Aug-20,62.45
Aug-20,44.47
Aug-20,64.0
Aug-20,36.06
Aug-20,36.06
Aug-20,62.45
Aug-20,36.06
Aug-20,44.47
Aug-20,50.92
Aug-20,54.86
Aug-20,36.06
Aug-20,49.23
Aug-20,50.67
Aug-20,48.25
Aug-20,50.67
Aug-20,44.8
Aug-20,62.45
Aug-20,44.47
Aug-20,49.23
Aug-20,53.67
Aug-20,49.23
Aug-20,44.8
Aug-20,54.86
Aug-20,48.64
Aug-20,48.25
Aug-20,52.34
Aug-20,44.8
Aug-20,53.51
Aug-20,53.51
Aug-20,44.8
Aug-20,49.23
Aug-20,49.23
Aug-20,44.8
Aug-20,36.06
Aug-20,36.06
Aug-20,62.45
Aug-20,48.64
Aug-20,48.75
Aug-20,48.25
Aug-20,49.23
Aug-20,44.47
Aug-20,44.8
Aug-20,44.47
Aug-20,44.47
Aug-20,62.45
Aug-20,50.92
Aug-20,62.45
Aug-20,62.45
Aug-20,49.23
Aug-20,53.51
Aug-20,49.23
Aug-20,36.06
Aug-20,48.25
Aug-20,50.92
Aug-20,48.25
Aug-20,52.34
Aug-20,50.92
Aug-20,48.25
Aug-20,44.8
Aug-20,44.8
Aug-20,53.51
Aug-20,62.45
Aug-20,54.86
Aug-20,62.45
Aug-20,44.8
Aug-20,36.06
Aug-20,54.86
Aug-20,48.25
Aug-20,44.47
Aug-20,49.05
Aug-20,49.23
Aug-20,48.64
Aug-20,53.67
Aug-20,48.64
Aug-20,36.06
Aug-20,53.67
Aug-20,54.86
Aug-20,48.25
Aug-20,36.06
Aug-20,48.25
Aug-20,52.34
Aug-20,50.92
Aug-20,54.56
Aug-20,48.25
Aug-20,49.23
Aug-20,50.92
Aug-20,36.06
Aug-20,44.47
Aug-20,50.67
Aug-20,50.67
Aug-20,53.51
Aug-20,36.06
Aug-20,44.47
Aug-20,48.64
Aug-20,48.25
Aug-20,54.86
Aug-20,64.0
Aug-20,36.06
Aug-20,36.06
Aug-20,62.45
Aug-20,44.47
Aug-20,54.86
Aug-20,49.23
Aug-20,49.23
Aug-20,36.06
Aug-20,52.34
Aug-20,36.06
Aug-20,44.47
Aug-20,48.25
Aug-20,36.06
Aug-20,48.25
Aug-20,48.25
Aug-20,36.06
Aug-20,48.64
Aug-20,52.34
Aug-20,48.25
Aug-20,44.47
Aug-20,50.67
Aug-20,48.25
Aug-20,64.0
Aug-20,64.0
Aug-20,36.06
Aug-20,48.25
Aug-20,49.23
Aug-20,50.92
Aug-20,64.0
Aug-20,49.23
Aug-20,36.06
Aug-20,44.8
Aug-20,62.45
Aug-20,48.25
Aug-20,49.23
Aug-20,48.75
Aug-20,36.06
Aug-20,48.25
Aug-20,53.51
Aug-20,36.06
Aug-20,52.34
Aug-20,44.47
Aug-20,62.45
Aug-20,48.25
Aug-20,62.45
Aug-20,36.06
Aug-20,36.06
Aug-20,50.67
Aug-20,44.8
Aug-20,50.92
